"Country","Status","Life.expectancy","Infant.deaths","Alcohol","Percentage.expenditure","Hepatitis.B","BMI","Polio","Diphteria","HIV.AIDS","GDP","Thinness.10.19.years","HDI","Schooling","Homicides","Fertility","Unemployment.rate..women"
"Serbia","Developing",75.6878048780488,0.6,7.21,8.47186947,91,26.2639795586798,93,92,0.000566707,5765.2008,2,0.785,11.1,1.93,1.61,16.17
"Sao Tome and Principe","Developing",69.67,3.37,5.05,6.43088818,96,24.8702317258533,96,96,0,1700.0465,5.5,0.584,6,6.82,4.46,17.216
"Suriname","Developing",71.358,2.02,4.41,6.27941179,77,26.7075164702,77,77,0.007081112,5539.1179,3.5,0.719,8.5,7.44,2.37,13.586
"Sweden","Developed",82.3073170731707,0.29,7.15,10.84046745,67,26.1620052526955,98,98,0.000100775,51965.1572,1.5,0.932,12.4,1.03,1.91,6.601
"Eswatini","Developing",56.962,5.63,7.5,6.77650404,90,26.9059205014869,90,90,0.185819545,3425.5595,4,0.586,6.5,18.97,3.08,27.843
"Chad","Developing",53.438,12.69,0.5,4.90541553,41,22.0146280238583,44,41,0.060020605,693.4494,8.5,0.405,2.3,9.5,5.95,6.959
"Togo","Developing",60.22,7.53,1.26,6.60094786,82,23.6154278546176,81,82,0.035552824,597.4711,6.5,0.5,4.8,9.41,4.45,6.697
"Thailand","Developing",76.403,1,6.57,3.76332021,99,24.5557513738234,99,99,0.001826846,5994.2315,7.7,0.748,7.6,4.42,1.48,0.976
"Tajikistan","Developing",70.397,3.46,0.86,7.00427723,97,26.2520365395431,97,96,0.000115426,802.518,3.6,0.647,10.5,2.05,3.36,9.945
"Turkmenistan","Developing",67.835,4.88,3.32,6.62111807,98,26.7432972763838,98,98,0.000529813,6389.5484,3.3,0.705,9.8,3.35,2.89,8.444
"Tonga","Developing",70.607,1.64,0.28,5.06450272,96,32.366006621258,96,96,0,4158.2884,0.1,0.724,11.2,3.61,3.64,7.115
"Trinidad and Tobago","Developing",73.1,2.69,5.91,7.00930595,97,27.8284378363732,84,97,0.002177757,16176.9474,5.7,0.785,10.9,36.46,1.75,4.772
"Tunisia","Developing",76.115,1.35,1.53,6.99717045,93,26.5169743581301,93,93,0.001857758,3697.9308,6.5,0.732,7.1,3.29,2.2,21.234
"Turkey","Developed",76.86,1.25,1.38,4.28469229,98,28.1082672149238,98,98,0.000350782,10895.3187,4.9,0.787,8,4.89,2.05,13.54
"Uganda","Developing",61.986,5.16,12.1,6.54710674,93,22.4780227410671,88,93,0.09844251,733.4313,5.6,0.508,5.7,13.13,5.59,1.794
"Ukraine","Developing",71.4763414634146,0.91,5.74,7.54541159,26,26.7465087828344,56,19,0.000422178,2187.7305,2.3,0.746,11.3,6.98,1.54,8.067
"Uruguay","Developing",77.498,0.86,5.53,9.42438793,95,27.5439772221702,95,95,0.000292045,15387.144,1.5,0.802,8.7,7.99,2,9.379
"United States","Developed",78.5390243902439,0.67,8.86,17.04898262,93,29.0419630575702,94,95,0.00017031,57951.5841,0.8,0.922,13.4,6.21,1.92,4.822
"Uzbekistan","Developing",71.171,2.39,1.59,4.96638393,99,27.0731936620742,99,99,0.000722183,2567.7992,3,0.703,11.4,1.96,2.29,8.635
"Vietnam","Developing",75.172,2.13,3.13,5.65919352,96,21.9555608714903,95,96,0.000886385,2192.2145,14.2,0.689,8.1,1.79,1.95,2.105
"Vanuatu","Developing",70.021,2.76,1.58,2.84586453,81,26.3381101192387,81,81,0.003592857,2889.853,1.5,0.6,6.8,2.44,3.28,6.233
"Samoa","Developing",72.895,1.69,2.18,5.51336765,74,32.48486638544,77,80,0.005140463,4109.1651,0.2,0.711,10.3,3.24,3.98,9.331
"South Africa","Developing",63.153,3.85,7.3,8.09581757,76,27.3485733072557,76,76,0.08956713,5272.9184,4.4,0.696,10.1,38.59,2.46,29.602
"Zambia","Developing",62.464,6.24,3.85,4.47720718,91,22.6410043674903,87,91,0.225868452,1280.5784,6.3,0.586,7,6.76,4.98,7.778
"Zimbabwe","Developing",60.294,5.33,3.46,7.6476202,90,23.8664203789532,90,90,0.06763889,1464.5835,5.6,0.532,8.2,13.51,3.76,4.92
